SOCCode,Description,teleworkable
51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders",0
51-9193,Cooling and freezing equipment operators and tenders,0
51-9194,Etchers and engravers,0
51-9195,"Molders, shapers, and casters, except metal and plastic",0
51-9196,"Paper goods machine setters, operators, and tenders",0
51-9197,Tire builders,0
51-9198,Helpers--production workers,0
51-9199,"Production workers, all other",0
53-1011,Aircraft cargo handling supervisors,0
53-1048,"First-Line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",1
53-2011,"Airline pilots, copilots, and flight engineers",0
53-2012,Commercial pilots,0
53-2021,Air traffic controllers,1
53-2022,Airfield operations specialists,0
53-2031,Flight attendants,0
53-3011,"Ambulance drivers and attendants, except emergency medical technicians",0
53-3021,"Bus drivers, transit and intercity",0
53-3022,"Bus drivers, school or special client",0
53-3031,Driver/sales workers,0
53-3032,Heavy and tractor-trailer truck drivers,0
53-3033,Light truck or delivery services drivers,0
53-3041,Taxi drivers and chauffeurs,0
53-4011,Locomotive engineers,0
53-4012,Locomotive firers,0
53-4013,"Rail yard engineers, dinkey operators, and hostlers",0
53-4021,"Railroad brake, signal, and switch operators",0
53-4031,Railroad conductors and yardmasters,0
53-4041,Subway and streetcar operators,0
53-5011,Sailors and marine oilers,0
53-5021,"Captains, mates, and pilots of water vessels",0
53-5022,Motorboat operators,0
53-5031,Ship engineers,0
53-6011,Bridge and lock tenders,0
53-6021,Parking lot attendants,0
53-6031,Automotive and watercraft service attendants,0
53-6041,Traffic technicians,0
53-6051,Transportation inspectors,0
53-6061,"Transportation attendants, except flight attendants",0
53-7011,Conveyor operators and tenders,0
53-7021,Crane and tower operators,0
53-7031,Dredge operators,0
53-7032,Excavating and loading machine and dragline operators,0
53-7033,"Loading machine operators, underground mining",0
53-7041,Hoist and winch operators,0
53-7051,Industrial truck and tractor operators,0
53-7061,Cleaners of vehicles and equipment,0
53-7062,"Laborers and freight, stock, and material movers, hand",0
53-7063,Machine feeders and offbearers,0
53-7064,"Packers and packagers, hand",0
53-7071,Gas compressor and gas pumping station operators,0
53-7072,"Pump operators, except wellhead pumpers",0
53-7073,Wellhead pumpers,0
53-7081,Refuse and recyclable material collectors,0
53-7111,Mine shuttle car operators,0
53-7121,"Tank car, truck, and ship loaders",0
