industry_code	naics_code	publishing_status	industry_name	display_level	selectable	sort_sequence
50517900	5174,9	E	Other telecommunications	5	T	529
50517911	517911	E	Telecommunications resellers	7	T	530
50518000	518	A	Data processing, hosting and related services	4	T	531
50519000	519	A	Other information services	4	T	532
50519130	51913	C	Internet publishing and broadcasting and web search portals	6	T	533
50519190	51911,2,9	C	All other information services	6	T	534
55000000	-	A	Financial activities	2	T	535
55520000	52	C	Finance and insurance	3	T	536
55521000	521	C	Monetary authorities - central bank	4	T	537
55522000	522	A	Credit intermediation and related activities	4	T	538
55522100	5221	A	Depository credit intermediation	5	T	539
55522110	52211	A	Commercial banking	6	T	540
55522120	52212	A	Savings institutions	6	T	541
55522190	52213,9	A	Credit unions and other depository credit intermediation	6	T	542
55522200	5222	A	Nondepository credit intermediation	5	T	543
55522210	52221	B	Credit card issuing	6	T	544
55522220	52222	B	Sales financing	6	T	545
55522290	52229	E	Other nondepository credit intermediation	6	T	546
55522291	522291	A	Consumer lending	7	T	547
55522292	522292	A	Real estate credit	7	T	548
55522298	522293,4,8	E	Miscellaneous nondepository credit intermediation	7	T	549
55522300	5223	A	Activities related to credit intermediation	5	T	550
55522310	52231	E	Mortgage and nonmortgage loan brokers	6	T	551
55522320	52232	E	Financial transaction processing and clearing	6	T	552
55522390	52239	E	Other credit intermediation activities	6	T	553
55523000	523,5	A	Securities, commodity contracts, investments, and funds and trusts	4	T	554
55523120	52312	A	Securities brokerage	6	T	555
55523200	5231,2	A	Securities and commodity contracts brokerage and exchanges	5	T	556
55523900	5239; 525	A	Other financial investment activities, including funds and trusts	5	T	557
55523910	52391	E	Miscellaneous intermediation	6	T	558
55523920	52392	A	Portfolio management	6	T	559
55523930	52393	A	Investment advice	6	T	560
55523990	52399; 525	E	All other financial investment activities, including funds and trusts	6	T	561
55524000	524	A	Insurance carriers and related activities	4	T	562
55524100	5241	A	Insurance carriers	5	T	563
55524110	52411	A	Direct life and health insurance carriers	6	T	564
55524113	524113	C	Direct life insurance carriers	7	T	565
55524114	524114	C	Direct health and medical insurance carriers	7	T	566
55524120	52412	A	Direct insurers, except life and health	6	T	567
55524126	524126	E	Direct property and casualty insurers	7	T	568
55524128	524127,8	E	Direct title insurance and other direct insurance carriers	7	T	569
55524130	52413	A	Reinsurance carriers	6	T	570
55524200	5242	A	Insurance agencies, brokerages, and related services	5	T	571
55524210	52421	A	Insurance agencies and brokerages	6	T	572
55524290	52429	A	Other insurance-related activities	6	T	573
55524291	524291	E	Claims adjusting	7	T	574
55524292	524292	A	Third-party administration of insurance funds	7	T	575
55524298	524298	E	All other insurance-related activities	7	T	576
55530000	53	C	Real estate and rental and leasing	3	T	577
55531000	531	A	Real estate	4	T	578
55531100	5311	A	Lessors of real estate	5	T	579
55531110	53111	A	Lessors of residential buildings	6	T	580
55531120	53112	A	Lessors of nonresidential buildings	6	T	581
55531130	53113	E	Miniwarehouse and self-storage unit operators	6	T	582
55531190	53119	E	Lessors of other real estate property	6	T	583
55531200	5312	A	Offices of real estate agents and brokers	5	T	584
55531300	5313	A	Activities related to real estate	5	T	585
55531310	53131	A	Real estate property managers	6	T	586
55531311	531311	A	Residential property managers	7	T	587
55531312	531312	A	Nonresidential property managers	7	T	588
55531320	53132	E	Offices of real estate appraisers	6	T	589
55531390	53139	E	Other activities related to real estate	6	T	590
55532000	532	A	Rental and leasing services	4	T	591
55532100	5321	E	Automotive equipment rental and leasing	5	T	592
55532110	53211	C	Passenger car rental and leasing	6	T	593
55532120	53212	C	Truck, trailer, and RV rental and leasing	6	T	594
55532200	5322	E	Consumer goods rental	5	T	595
55532283	532283	A	Home health equipment rental	7	T	596
55532300	5323	A	General rental centers	5	T	597
55532400	5324	A	Machinery and equipment rental and leasing	5	T	598
55532410	53241	A	Heavy machinery rental and leasing	6	T	599
55532490	53242,9	A	Office equipment and other machinery rental and leasing	6	T	600
55533000	533	C	Lessors of nonfinancial intangible assets	4	T	601
60000000	-	A	Professional and business services	2	T	602
60540000	54	A	Professional and technical services	3	T	603
60541100	5411	A	Legal services	5	T	604
60541110	54111	A	Offices of lawyers	6	T	605
60541190	54119	A	Other legal services	6	T	606
60541200	5412	A	Accounting and bookkeeping services	5	T	607
60541211	541211	A	Offices of certified public accountants	7	T	608
60541213	541213	C	Tax preparation services	7	T	609
60541214	541214	A	Payroll services	7	T	610
60541219	541219	C	Other accounting services	7	T	611
60541300	5413	A	Architectural and engineering services	5	T	612
60541310	54131	A	Architectural services	6	T	613
60541320	54132	A	Landscape architectural services	6	T	614
60541340	54133,4	A	Engineering and drafting services	6	T	615
60541370	54135,6,7	A	Building inspection, surveying, and mapping services	6	T	616
60541380	54138	A	Testing laboratories	6	T	617
60541400	5414	A	Specialized design services	5	T	618
60541410	54141	E	Interior design services	6	T	619
60541430	54143	A	Graphic design services	6	T	620
60541500	5415	A	Computer systems design and related services	5	T	621
60541511	541511	A	Custom computer programming services	7	T	622
60541512	541512	A	Computer systems design services	7	T	623
60541513	541513	B	Computer facilities management services	7	T	624
60541519	541519	E	Other computer-related services	7	T	625
60541600	5416	A	Management and technical consulting services	5	T	626
60541610	54161	A	Management consulting services	6	T	627
60541611	541611	A	Administrative management consulting services	7	T	628
60541612	541612	C	Human resource consulting services	7	T	629
60541613	541613	A	Marketing consulting services	7	T	630
60541614	541614	A	Process and logistics consulting services	7	T	631
60541618	541618	C	Other management consulting services	7	T	632
60541620	54162	C	Environmental consulting services	6	T	633
60541690	54169	C	Other technical consulting services	6	T	634
60541700	5417	A	Scientific research and development services	5	T	635
60541710	54171	A	Research and development in the physical, engineering, and life sciences	6	T	636
60541713	541713	C	Research and development in nanotechnology	7	T	637
60541714	541714	C	Research and development in biotechnology, except nanobiotechnology	7	T	638
60541715	541715	A	Research and development in the physical, engineering, and life sciences, except nanotechnology and biotechnology	7	T	639
60541720	54172	A	Social science and humanities research	6	T	640
60541800	5418	A	Advertising and related services	5	T	641
60541810	54181	A	Advertising agencies	6	T	642
60541820	54182	A	Public relations agencies	6	T	643
60541840	54183,4	C	Media buying agencies and media representatives	6	T	644
60541850	54185	C	Display advertising	6	T	645
60541860	54186	E	Direct mail advertising	6	T	646
60541890	54187,9	A	Advertising material distribution and other advertising services	6	T	647
60541900	5419	A	Other professional and technical services	5	T	648
60541910	54191	A	Marketing research and public opinion polling	6	T	649
60541920	54192	A	Photographic services	6	T	650
60541940	54194	A	Veterinary services	6	T	651
60541990	54193,9	A	Miscellaneous professional and technical services	6	T	652
60550000	55	A	Management of companies and enterprises	3	T	653
60551112	551111,2	A	Offices of bank holding companies and of other holding companies	7	T	654
60551114	551114	A	Managing offices	7	T	655
60560000	56	A	Administrative and waste services	3	T	656
60561000	561	A	Administrative and support services	4	T	657
60561100	5611	A	Office administrative services	5	T	658
60561200	5612	A	Facilities support services	5	T	659
60561300	5613	A	Employment services	5	T	660
60561310	56131	A	Employment placement agencies and executive search services	6	T	661
60561311	561311	C	Employment placement agencies	7	T	662
60561312	561312	C	Executive search services	7	T	663
60561320	56132	A	Temporary help services	6	T	664
60561330	56133	A	Professional employer organizations	6	T	665
60561400	5614	A	Business support services	5	T	666
60561410	56141	E	Document preparation services	6	T	667
60561420	56142	A	Telephone call centers	6	T	668
60561421	561421	C	Telephone answering services	7	T	669
60561422	561422	C	Telemarketing bureaus	7	T	670
60561430	56143	A	Business service centers	6	T	671
60561440	56144	A	Collection agencies	6	T	672
60561450	56145	C	Credit bureaus	6	T	673
60561490	56149	C	Other business support services	6	T	674
60561500	5615	A	Travel arrangement and reservation services	5	T	675
60561510	56151	A	Travel agencies	6	T	676
60561520	56152	C	Tour operators	6	T	677
60561590	56159	C	Other travel arrangement services	6	T	678
60561600	5616	A	Investigation and security services	5	T	679
60561610	56161	A	Security and armored car services	6	T	680
60561611	561611	C	Investigation services	7	T	681
60561613	561612,3	C	Security guards and patrols and armored car services	7	T	682
60561620	56162	A	Security systems services	6	T	683
60561700	5617	A	Services to buildings and dwellings	5	T	684
60561710	56171	A	Exterminating and pest control services	6	T	685
60561720	56172	A	Janitorial services	6	T	686
60561730	56173	A	Landscaping services	6	T	687
60561740	56174	A	Carpet and upholstery cleaning services	6	T	688
60561790	56179	A	Other services to buildings and dwellings	6	T	689
60561900	5619	A	Other support services	5	T	690
60561910	56191	A	Packaging and labeling services	6	T	691
60561920	56192	A	Convention and trade show organizers	6	T	692
60561990	56199	A	All other support services	6	T	693
60562000	562	A	Waste management and remediation services	4	T	694
60562100	5621	A	Waste collection	5	T	695
60562200	5622	A	Waste treatment and disposal	5	T	696
60562211	562211	C	Hazardous waste treatment and disposal	7	T	697
60562219	562212,3,9	C	Nonhazardous waste treatment and disposal	7	T	698
60562900	5629	A	Remediation and other waste services	5	T	699
60562910	56291	C	Remediation services	6	T	700
60562990	56292,9	C	Materials recovery facilities and other waste management services	6	T	701
65000000	-	A	Education and health services	2	T	702
65610000	61	B	Educational services	3	T	703
65611100	6111	B	Elementary and secondary schools	5	T	704
65611200	6112	C	Junior colleges	5	T	705
65611300	6113	B	Colleges and universities	5	T	706
65611400	6114	B	Business, computer, and management training	5	T	707
65611420	61141,2	C	Business and secretarial schools and computer training	6	T	708
65611430	61143	C	Management training	6	T	709
65611500	6115	B	Technical and trade schools	5	T	710
65611600	6116	C	Other schools and instruction	5	T	711
65611610	61161	C	Fine arts schools	6	T	712
65611620	61162	C	Sports and recreation instruction	6	T	713
65611690	61163,9	C	Miscellaneous schools and instruction	6	T	714
65611700	6117	B	Educational support services	5	T	715
65620000	62	A	Health care and social assistance	3	T	716
65620001	621,2,3	A	Health care	4	T	717
65621000	621	A	Ambulatory health care services	4	T	718
65621100	6211	A	Offices of physicians	5	T	719
65621111	621111	E	Offices of physicians, except mental health	7	T	720
65621112	621112	E	Offices of mental health physicians	7	T	721
65621200	6212	A	Offices of dentists	5	T	722
65621300	6213	A	Offices of other health practitioners	5	T	723
65621310	62131	A	Offices of chiropractors	6	T	724
65621320	62132	A	Offices of optometrists	6	T	725
65621330	62133	A	Offices of mental health practitioners	6	T	726
65621340	62134	A	Offices of specialty therapists	6	T	727
65621390	62139	A	Offices of all other health practitioners	6	T	728
65621391	621391	C	Offices of podiatrists	7	T	729
65621399	621399	C	Offices of miscellaneous health practitioners	7	T	730
65621400	6214	A	Outpatient care centers	5	T	731
65621420	62142	A	Outpatient mental health centers	6	T	732
65621490	62141,9	A	Outpatient care centers, except mental health	6	T	733
65621491	621491	C	HMO medical centers	7	T	734
65621492	621492	C	Kidney dialysis centers	7	T	735
65621493	621493	A	Freestanding emergency medical centers	7	T	736
65621498	621410,98	A	Miscellaneous outpatient care centers	7	T	737
65621500	6215	A	Medical and diagnostic laboratories	5	T	738
65621511	621511	A	Medical laboratories	7	T	739
65621512	621512	A	Diagnostic imaging centers	7	T	740
65621600	6216	A	Home health care services	5	T	741
65621900	6219	A	Other ambulatory health care services	5	T	742
65621910	62191	A	Ambulance services	6	T	743
65621990	62199	A	All other ambulatory health care services	6	T	744
65621991	621991	C	Blood and organ banks	7	T	745
65621999	621999	C	Miscellaneous ambulatory health care services	7	T	746
65622000	622	A	Hospitals	4	T	747
65622100	6221	A	General medical and surgical hospitals	5	T	748
65622200	6222	E	Psychiatric and substance abuse hospitals	5	T	749
65622300	6223	E	Other hospitals	5	T	750
65623000	623	A	Nursing and residential care facilities	4	T	751
65623100	6231	A	Nursing care facilities	5	T	752
65623200	6232	A	Residential mental health facilities	5	T	753
65623210	62321	A	Residential intellectual and developmental disability facilities	6	T	754
65623220	62322	A	Residential mental health and substance abuse facilities	6	T	755
65623300	6233	A	Community care facilities for the elderly	5	T	756
65623311	623311	A	Continuing care retirement communities	7	T	757
65623312	623312	A	Assisted living facilities for the elderly	7	T	758
65623900	6239	A	Other residential care facilities	5	T	759
65624000	624	A	Social assistance	4	T	760
65624100	6241	A	Individual and family services	5	T	761
65624110	62411	A	Child and youth services	6	T	762
65624120	62412	A	Services for the elderly and persons with disabilities	6	T	763
65624190	62419	A	Other individual and family services	6	T	764
65624200	6242	A	Emergency and other relief services	5	T	765
65624210	62421	E	Community food services	6	T	766
65624230	62422,3	E	Community housing, emergency, and relief services	6	T	767
65624300	6243	A	Vocational rehabilitation services	5	T	768
65624400	6244	A	Child day care services	5	T	769
70000000	-	A	Leisure and hospitality	2	T	770
70710000	71	A	Arts, entertainment, and recreation	3	T	771
70711000	711	A	Performing arts and spectator sports	4	T	772
70711100	7111	A	Performing arts companies	5	T	773
70711130	71113	C	Musical groups and artists	6	T	774
70711190	71111,2,9	C	Theater, dance, and other performing arts companies	6	T	775
70711200	7112	A	Spectator sports	5	T	776
70711211	711211	C	Sports teams and clubs	7	T	777
70711212	711212	C	Racetracks	7	T	778
70711219	711219	C	Other spectator sports	7	T	779
70711300	7113,4	A	Arts and sports promoters and agents and managers for public figures	5	T	780
70711500	7115	A	Independent artists, writers, and performers	5	T	781
70712000	712	A	Museums, historical sites, and similar institutions	4	T	782
70712110	71211	A	Museums	6	T	783
70712190	71212,3,9	A	Historical sites and other similar institutions	6	T	784
70713000	713	A	Amusements, gambling, and recreation	4	T	785
70713100	7131	E	Amusement parks and arcades	5	T	786
70713200	7132	A	Gambling industries	5	T	787
70713210	71321	E	Casinos, except casino hotels	6	T	788
70713290	71329	E	Other gambling industries	6	T	789
70713900	7139	E	Other amusement and recreation industries	5	T	790
70713910	71391	A	Golf courses and country clubs	6	T	791
70713920	71392	A	Skiing facilities	6	T	792
70713930	71393	A	Marinas	6	T	793
70713940	71394	A	Fitness and recreational sports centers	6	T	794
70713950	71395	A	Bowling centers	6	T	795
70713990	71399	E	All other amusement and recreation industries	6	T	796
70720000	72	A	Accommodation and food services	3	T	797
70721000	721	A	Accommodation	4	T	798
70721100	7211	A	Traveler accommodation	5	T	799
70721110	72111	A	Hotels and motels, except casino hotels	6	T	800
70721120	72112	C	Casino hotels	6	T	801
70721190	72119	C	Other traveler accommodation	6	T	802
70721191	721191	C	Bed-and-breakfast inns	7	T	803
70721199	721310,199	C	All other traveler accommodation and rooming and boarding houses	7	T	804
70721200	7212	A	RV parks and recreational camps	5	T	805
70721211	721211	C	RV parks and campgrounds	7	T	806
70721214	721214	C	Recreational and vacation camps	7	T	807
70722000	722	A	Food services and drinking places	4	T	808
70722300	7223	A	Special food services	5	T	809
70722310	72231	A	Food service contractors	6	T	810
70722330	72232,3	A	Caterers and mobile food services	6	T	811
70722400	7224	A	Drinking places, alcoholic beverages	5	T	812
70722500	7225	A	Restaurants and other eating places	5	T	813
70722511	722511	A	Full-service restaurants	7	T	814
70722513	722513	A	Limited-service restaurants	7	T	815
70722514	722514	A	Cafeterias, grill buffets, and buffets	7	T	816
70722515	722515	A	Snack and nonalcoholic beverage bars	7	T	817
80000000	81	A	Other services	2	T	818
80811000	811	A	Repair and maintenance	4	T	819
80811100	8111	A	Automotive repair and maintenance	5	T	820
80811110	81111	A	Automotive mechanical and electrical repair	6	T	821
80811111	811111	A	General automotive repair	7	T	822
80811113	811112,3	C	Automotive exhaust system and transmission repair	7	T	823
80811118	811118	E	Other automotive mechanical and elec. repair	7	T	824
80811120	81112	A	Automotive body, interior, and glass repair	6	T	825
80811121	811121	B	Automotive body and interior repair	7	T	826
80811122	811122	B	Automotive glass replacement shops	7	T	827
80811190	81119	A	Other automotive repair and maintenance	6	T	828
80811192	811192	A	Car washes	7	T	829
80811198	811191,8	A	Auto oil change shops and all other auto repair and maintenance	7	T	830
80811200	8112	A	Electronic equipment repair and maintenance	5	T	831
80811212	811212	A	Computer and office machine repair	7	T	832
80811219	811211,3,9	A	Miscellaneous electronic equipment repair and maintenance	7	T	833
80811300	8113	A	Commercial machinery repair and maintenance	5	T	834
80811400	8114	A	Household goods repair and maintenance	5	T	835
80812000	812	A	Personal and laundry services	4	T	836
80812100	8121	A	Personal care services	5	T	837
80812110	81211	A	Hair, nail, and skin care services	6	T	838
80812112	812111,2	E	Barber shops and beauty salons	7	T	839
80812113	812113	E	Nail salons	7	T	840
80812190	81219	A	Other personal care services	6	T	841
80812200	8122	A	Death care services	5	T	842
80812210	81221	E	Funeral homes and funeral services	6	T	843
80812220	81222	E	Cemeteries and crematories	6	T	844
80812300	8123	A	Drycleaning and laundry services	5	T	845
80812310	81231	A	Coin-operated laundries and drycleaners	6	T	846
80812320	81232	A	Drycleaning and laundry services, except coin-operated	6	T	847
80812330	81233	A	Linen and uniform supply	6	T	848
80812331	812331	C	Linen supply	7	T	849
80812332	812332	C	Industrial launderers	7	T	850
80812900	8129	A	Other personal services	5	T	851
80812910	81291	A	Pet care services, except veterinary	6	T	852
80812930	81293	A	Parking lots and garages	6	T	853
80812990	81292,9	C	All other personal services, including photofinishing	6	T	854
80813000	813	A	Membership associations and organizations	4	T	855
80813200	8132	A	Grantmaking and giving services	5	T	856
80813211	813211	A	Grantmaking foundations	7	T	857
80813212	813212	E	Voluntary health organizations	7	T	858
80813219	813219	E	Other grantmaking and giving services	7	T	859
80813300	8133	A	Social advocacy organizations	5	T	860
80813311	813311	A	Human rights organizations	7	T	861
80813319	813312,9	A	Environment, conservation, and other social advocacy organizations	7	T	862
80813400	8134	A	Civic and social organizations	5	T	863
80813900	8139	A	Professional and similar organizations	5	T	864
80813910	81391	A	Business associations	6	T	865
80813920	81392	A	Professional organizations	6	T	866
80813930	81393	A	Labor unions and similar labor organizations	6	T	867
80813990	81394,9	A	Miscellaneous professional and similar organizations	6	T	868
90000000	-	B	Government	2	T	869
90910000	-	B	Federal	3	T	870
90911000	-	B	Federal, except U.S. Postal Service	4	T	871
90916220	-	B	Federal hospitals	5	T	872
90919110	-	B	Department of Defense	5	T	873
90919120	-	B	U.S. Postal Service	4	T	874
90919999	-	B	Other Federal government	5	T	875
90920000	-	B	State government	3	T	876
90921611	-	B	State government education	4	T	877
90922000	-	B	State government, excluding education	4	T	878
90922622	-	B	State hospitals	5	T	879
90922920	-	B	State government general administration	5	T	880
90922999	-	B	Other State government	5	T	881
90930000	-	B	Local government	3	T	882
90931611	-	B	Local government education	4	T	883
90932000	-	B	Local government, excluding education	4	T	884
90932221	-	B	Local government utilities	5	T	885
90932480	-	B	Local government transportation	5	T	886
90932622	-	B	Local hospitals	5	T	887
90932920	-	B	Local government general administration	5	T	888
90932999	-	B	Other local government	5	T	889
